period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,90,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,100,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,120,33,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,400,150,34,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,150,34,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,150,15,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,180,16,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,100,21,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,300,125,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,380,200,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,100,11,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,120,11,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300,150,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,50,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,120,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,25308,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,200,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
