period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,Player30,Player31,Player32,Player33,Player34,Player35,Player36,Player37,Player38,Player39,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,21,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,130,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,115,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,110,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,105,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,22,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,34,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,53,35,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,49,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,155,50,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,607,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,607,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,135,16,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,130,16,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,136,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,127,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,139,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600,120,24,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,90,24,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,40,47,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,100,60,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,100,60,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,110,60,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,100,60,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
2,28505,180,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110,100,60,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.55,3,0,2,2.1225,0.5
