period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,quant,Player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,45,47,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,680,150,48,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,23976,185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,680,150,48,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680,100,37,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,130,36,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,85,1,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,105,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,125,5,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,5,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,125,6,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,135,6,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,6,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,125,6,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,125,9,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,125,9,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,140,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,160,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,150,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,165,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,13,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,110,14,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,19,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,20,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,23,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,24,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,31,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,100,32,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,40,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,41,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
2,25415,165,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,41,0,0,0,0,0,0,0,0,,,,,,,,1,4,9.53,3,0,2,2.1181,0.5
